epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,5135.28,1.94341,2.80534,0.00662,0.56735,0.51944,0.53786,0.28846,1.61181,1.98926,0.00769,0.00999887,0.00333296,0.00999887,0.00333296,0.00999887,0.00333296,0.00999887,0.00333296
2,8345.16,1.90384,1.76179,0.00643,0.64082,0.56875,0.61271,0.33386,1.59947,1.53523,0.00765,0.0198009,0.00660029,0.0198009,0.00660029,0.0198009,0.00660029,0.0198009,0.00660029
3,11252.5,1.94979,1.69342,0.00674,0.65714,0.57747,0.63517,0.33929,1.62825,1.48643,0.00788,0.0294049,0.00980163,0.0294049,0.00980163,0.0294049,0.00980163,0.0294049,0.00980163
4,14088.4,1.96928,1.64772,0.00683,0.68924,0.62086,0.67444,0.36736,1.58705,1.37015,0.00772,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,16926.4,1.9147,1.53476,0.00663,0.72722,0.63883,0.70464,0.39027,1.53919,1.29108,0.00742,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,19811.1,1.88312,1.46093,0.00647,0.74794,0.64348,0.72461,0.40287,1.54683,1.23896,0.00735,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,22646.6,1.86083,1.40835,0.00631,0.76166,0.66203,0.75185,0.42795,1.50858,1.17387,0.00723,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,25447.6,1.83888,1.36055,0.00624,0.77904,0.68259,0.76674,0.4441,1.48856,1.12878,0.007,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,28238.6,1.81794,1.33223,0.00614,0.77944,0.69068,0.77146,0.45026,1.46565,1.12223,0.00686,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,31190.2,1.80606,1.3092,0.00607,0.78462,0.68733,0.77521,0.45548,1.46841,1.11051,0.00689,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,34061.4,1.79435,1.27894,0.00603,0.79774,0.70094,0.79014,0.46635,1.46005,1.06897,0.00685,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,36913.3,1.77975,1.25494,0.00595,0.80046,0.70614,0.79699,0.47457,1.4365,1.02866,0.00667,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,39746.8,1.77192,1.23937,0.0059,0.79995,0.71728,0.80318,0.47431,1.44046,1.03418,0.00669,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,42655.7,1.76463,1.21599,0.00585,0.80726,0.72685,0.80876,0.4809,1.43678,1.01498,0.00669,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3579.19,1.74967,1.20159,0.00583,0.81941,0.72492,0.81284,0.48905,1.4197,1.00251,0.00659,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,6617.98,1.74931,1.20023,0.00578,0.80966,0.73616,0.81541,0.49174,1.42234,0.99574,0.00657,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,9560.51,1.73971,1.18786,0.00577,0.81785,0.74146,0.82104,0.49514,1.41684,0.98751,0.00652,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4810.4,1.69338,1.1169,0.00556,0.81615,0.7449,0.82352,0.49841,1.41066,0.97491,0.00649,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,7706.27,1.71232,1.13621,0.0056,0.83355,0.73614,0.82576,0.4989,1.40889,0.96739,0.00648,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,10525.1,1.71808,1.15275,0.00566,0.82244,0.74573,0.8282,0.50065,1.40565,0.96658,0.00646,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,13380.9,1.72352,1.16062,0.00567,0.82542,0.74222,0.82917,0.50489,1.39961,0.96123,0.00644,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,16221.9,1.70864,1.14819,0.00564,0.83183,0.74276,0.8299,0.50545,1.39499,0.95656,0.00641,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,4911.43,1.65609,1.05692,0.00538,0.82616,0.74465,0.83175,0.5072,1.39348,0.94894,0.0064,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,7873.49,1.68247,1.08846,0.00545,0.82548,0.74753,0.83287,0.50866,1.39209,0.94699,0.00638,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,10697,1.68829,1.10794,0.00551,0.84322,0.73338,0.83319,0.50933,1.3907,0.94585,0.00638,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,13546.2,1.70012,1.12712,0.00556,0.84114,0.73648,0.83388,0.51024,1.38739,0.94498,0.00636,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,16430.7,1.69169,1.1289,0.00556,0.84069,0.7378,0.83486,0.51186,1.38491,0.94254,0.00635,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,19324.3,1.69741,1.12088,0.00559,0.82644,0.75344,0.83522,0.51254,1.38218,0.94189,0.00634,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,3761.75,1.62703,1.01436,0.00523,0.82789,0.75539,0.83575,0.51283,1.38213,0.93865,0.00634,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,7394.49,1.66028,1.05642,0.00535,0.83782,0.74461,0.83563,0.51287,1.38145,0.93791,0.00634,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,10923.9,1.67285,1.07805,0.00544,0.83754,0.74725,0.83634,0.51324,1.37957,0.93703,0.00633,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,14500.3,1.68778,1.09479,0.0055,0.84041,0.74519,0.83689,0.51425,1.37959,0.93342,0.00633,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,17942.9,1.67804,1.10246,0.0055,0.84192,0.74603,0.83702,0.51517,1.37847,0.93148,0.00632,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,21351.6,1.68323,1.09729,0.00553,0.84264,0.74357,0.83661,0.5152,1.37684,0.93176,0.00631,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,24807.5,1.68298,1.08805,0.00546,0.84618,0.74394,0.83733,0.516,1.37476,0.93025,0.00629,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
